Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
34947,0.3,Good,H,SI2,63.2,55.0,378,4.26,4.29,2.7
26691,0.28,Very Good,H,VS1,61.9,56.0,429,4.22,4.24,2.61
17880,1.5,Good,G,SI2,63.7,58.0,7216,7.15,7.22,4.58
11970,1.14,Premium,G,SI2,60.9,56.0,5139,6.8,6.73,4.12
10457,1.14,Very Good,I,SI1,63.5,56.0,4788,6.62,6.58,4.19
1438,0.9,Good,H,SI1,64.2,60.0,2974,6.05,6.02,3.87
24217,1.67,Ideal,I,VS2,61.9,57.0,12406,7.56,7.59,4.69
20782,1.23,Premium,F,VS2,59.6,58.0,9016,7.02,6.94,4.16
20501,1.71,Good,J,VS2,62.8,58.0,8831,7.48,7.55,4.72
44691,0.5,Ideal,D,VS2,61.5,57.0,1612,5.07,5.11,3.13
15388,0.29,Very Good,G,VVS1,61.5,57.0,607,4.24,4.27,2.62
2863,0.95,Ideal,J,SI1,63.0,56.0,3275,6.32,6.26,3.96
16880,1.01,Ideal,G,VS2,61.0,56.0,6734,6.47,6.51,3.96
41894,0.5,Good,E,SI1,61.8,62.0,1259,5.05,5.08,3.13
45424,0.55,Ideal,E,SI1,62.3,56.0,1668,5.26,5.23,3.27
20831,1.52,Ideal,F,SI2,61.2,57.0,9057,7.45,7.39,4.54
17869,1.24,Good,H,VS2,58.3,58.0,7210,7.09,7.15,4.15
16264,1.01,Ideal,G,VS2,61.8,57.0,6504,6.43,6.41,3.97
11479,1.14,Very Good,E,SI2,60.2,58.0,5014,6.71,6.78,4.06
27494,2.01,Ideal,H,SI1,62.8,54.0,18186,8.03,8.08,5.05
25136,2.02,Very Good,J,VS2,59.3,60.0,13693,8.28,8.34,4.93
2797,0.77,Premium,E,VS1,60.8,56.0,3260,5.95,5.9,3.6
11533,1.05,Very Good,H,SI1,63.2,56.0,5027,6.51,6.47,4.1
29709,0.31,Premium,G,VVS2,61.5,58.0,707,4.31,4.34,2.66
11875,1.5,Good,J,SI2,63.7,58.0,5107,7.19,7.13,4.56
4292,0.7,Premium,F,VVS1,61.9,60.0,3587,5.68,5.63,3.5
33182,0.41,Good,E,SI2,63.8,57.0,818,4.75,4.68,3.01
629,0.71,Very Good,D,VS1,63.4,55.0,2841,5.69,5.61,3.58
36297,0.32,Very Good,D,SI2,62.8,57.0,477,4.35,4.38,2.74
10282,0.96,Very Good,F,SI1,62.1,62.0,4755,6.24,6.32,3.9
37141,0.4,Very Good,F,VVS2,62.9,55.0,972,4.72,4.75,2.98
53569,0.7,Good,E,SI1,60.4,61.0,2696,5.73,5.76,3.47
5184,0.9,Premium,G,SI1,61.3,60.0,3774,6.17,6.14,3.77
17934,1.16,Ideal,G,VS2,61.7,57.0,7243,6.8,6.72,4.17
16758,1.01,Ideal,G,VS1,62.4,56.0,6672,6.39,6.44,4.0
34037,0.43,Ideal,H,VS1,61.2,56.0,850,4.87,4.9,2.99
27821,0.34,Premium,G,SI1,61.5,56.0,650,4.52,4.45,2.76
49612,0.7,Ideal,H,SI1,61.2,58.0,2138,5.74,5.77,3.52
12834,1.5,Premium,J,SI2,61.3,59.0,5351,7.38,7.33,4.51
28565,0.3,Ideal,H,VS1,62.2,57.0,675,4.3,4.28,2.67
24341,2.01,Ideal,J,SI1,62.3,57.0,12607,8.05,7.99,5.0
25345,1.7,Premium,H,VS2,62.4,59.0,14058,7.63,7.54,4.73
2159,0.75,Ideal,E,SI2,62.6,55.0,3129,5.72,5.79,3.6
11654,1.01,Good,D,SI1,63.9,60.0,5055,6.29,6.32,4.03
29489,0.32,Ideal,E,VS2,62.3,57.0,702,4.41,4.42,2.75
51906,0.73,Ideal,E,SI2,61.0,57.0,2434,5.81,5.87,3.56
26835,2.01,Good,E,SI2,60.0,64.0,16733,8.17,8.09,4.88
45737,0.5,Premium,E,VS2,60.5,60.0,1699,5.13,5.09,3.09
37731,0.53,Very Good,J,VS2,62.7,56.0,996,5.15,5.18,3.24
17703,0.32,Premium,G,SI1,60.5,59.0,612,4.43,4.39,2.67
23909,1.5,Premium,F,SI1,62.2,58.0,12030,7.34,7.29,4.55
37762,0.53,Ideal,J,SI1,61.6,55.0,999,5.2,5.23,3.21
53190,0.73,Ideal,D,SI1,60.2,56.0,2632,5.86,5.94,3.55
272,0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57
43465,0.56,Ideal,G,SI1,61.3,54.0,1417,5.34,5.37,3.28
13717,0.3,Ideal,E,VS2,62.0,53.0,603,4.31,4.33,2.68
45141,0.56,Premium,F,VS2,59.6,58.0,1654,5.34,5.36,3.19
52316,0.32,Premium,D,SI1,62.2,60.0,550,4.34,4.37,2.71
5400,0.3,Very Good,D,SI2,63.3,57.0,574,4.3,4.26,2.71
12983,1.11,Premium,H,VS2,62.0,59.0,5395,6.66,6.59,4.11
23951,1.6,Premium,H,VS1,62.5,58.0,12084,7.47,7.37,4.64
39612,0.35,Ideal,H,SI1,62.3,57.0,491,4.5,4.55,2.82
10106,1.07,Very Good,H,SI2,62.1,58.0,4716,6.53,6.57,4.07
38724,0.41,Very Good,H,VVS1,61.4,60.0,1043,4.73,4.78,2.92
38057,0.57,Premium,D,SI2,61.3,59.0,1012,5.32,5.28,3.25
4386,0.31,Premium,D,SI1,61.2,60.0,571,4.35,4.41,2.68
37234,0.4,Ideal,E,VS2,62.4,55.0,975,4.74,4.71,2.95
39914,0.73,Fair,H,I1,66.2,56.0,1104,5.62,5.46,3.69
22871,2.24,Premium,H,SI2,61.8,58.0,10913,8.41,8.34,5.18
44523,0.53,Very Good,D,VS2,63.2,56.0,1601,5.1,5.15,3.24
45571,0.52,Very Good,E,VS2,62.5,56.0,1689,5.15,5.18,3.23
47631,0.67,Good,I,VVS2,58.9,51.0,1882,5.74,5.78,3.4
35224,0.33,Ideal,F,VVS1,61.4,55.0,893,4.47,4.52,2.76
22533,1.86,Premium,G,SI2,62.5,60.0,10572,7.9,7.8,4.91
16676,1.01,Very Good,E,VS2,61.9,55.0,6666,6.38,6.44,3.97
26112,2.2,Ideal,J,VS2,61.6,57.0,15384,8.34,8.39,5.15
33078,0.26,Premium,E,VVS1,60.9,59.0,814,4.12,4.09,2.5
27297,2.16,Very Good,I,SI1,58.5,60.0,17772,8.49,8.54,4.98
28911,0.3,Premium,G,VVS2,62.6,58.0,684,4.27,4.29,2.68
39317,0.38,Ideal,D,VVS2,61.4,57.0,1070,4.66,4.72,2.88
49669,0.7,Ideal,I,VS1,63.0,54.0,2142,5.63,5.7,3.57
16392,1.27,Ideal,F,VS2,62.8,56.0,6543,6.9,6.86,4.32
19229,1.05,Ideal,D,VS2,61.7,59.0,7965,6.5,6.53,4.02
32999,0.38,Premium,D,SI2,59.2,61.0,812,4.72,4.67,2.78
25689,0.34,Ideal,I,VS1,62.0,54.0,643,4.51,4.49,2.79
33251,0.45,Ideal,I,VS1,61.9,54.0,825,4.95,4.97,3.07
8602,1.03,Good,D,SI1,64.3,58.0,4441,6.31,6.28,4.05
1976,0.8,Premium,E,SI1,62.9,60.0,3091,5.89,5.87,3.7
33603,0.31,Very Good,G,SI1,61.7,55.0,462,4.37,4.38,2.7
22783,1.67,Ideal,I,VS1,61.2,57.0,10802,7.69,7.66,4.7
39199,0.43,Premium,D,SI1,61.2,58.0,1064,4.87,4.83,2.97
52795,0.7,Good,E,SI1,63.3,60.0,2569,5.56,5.59,3.53
51815,0.76,Very Good,H,SI2,59.8,58.0,2418,5.94,5.96,3.56
38265,0.27,Ideal,H,SI1,61.3,55.0,383,4.17,4.21,2.57
31703,0.36,Premium,F,SI1,61.1,59.0,770,4.62,4.58,2.81
6816,1.01,Fair,D,SI1,66.3,55.0,4118,6.22,6.17,4.11
13498,0.7,Ideal,D,VVS2,60.7,57.0,5539,5.75,5.78,3.5
42245,0.52,Ideal,D,SI2,61.7,55.0,1292,5.17,5.2,3.2
16741,1.01,Premium,E,VS2,62.0,59.0,6666,6.44,6.46,4.0
3719,0.9,Good,F,SI2,63.9,55.0,3453,6.15,6.12,3.92
17386,0.34,Ideal,E,SI2,62.9,56.0,612,4.48,4.45,2.81
49403,0.6,Ideal,G,VS1,61.3,57.0,2105,5.4,5.47,3.33
49783,0.7,Very Good,F,SI1,61.4,57.0,2161,5.73,5.77,3.53
28125,0.36,Very Good,D,SI1,60.4,58.0,663,4.6,4.64,2.79
17706,0.31,Premium,H,VVS1,61.8,59.0,612,4.32,4.36,2.68
11300,1.04,Premium,H,SI1,58.7,61.0,4980,6.62,6.57,3.87
19724,1.21,Ideal,G,VS2,61.5,56.0,8294,6.83,6.88,4.22
1680,0.7,Very Good,F,VVS2,58.5,60.0,3028,5.82,5.94,3.44
11766,1.1,Ideal,E,SI2,61.6,56.0,5082,6.61,6.64,4.08
15817,1.18,Ideal,E,SI2,60.9,57.0,6328,6.86,6.89,4.19
4132,0.75,Very Good,E,VS1,61.9,58.0,3543,5.83,5.86,3.62
5386,0.34,Ideal,F,SI2,60.1,56.0,574,4.55,4.54,2.73
18690,1.5,Premium,F,SI2,58.5,60.0,7644,7.52,7.48,4.39
33105,0.32,Ideal,E,VVS2,61.5,56.0,816,4.43,4.45,2.73
5338,0.9,Premium,H,VS2,61.2,61.0,3810,6.21,6.14,3.78
41844,0.35,Ideal,E,IF,62.2,56.0,1254,4.52,4.51,2.81
28704,0.41,Very Good,F,SI1,63.6,57.0,680,4.72,4.75,3.01
3615,1.05,Ideal,I,VS2,62.2,56.0,3428,6.52,6.5,4.05
21553,2.01,Premium,I,SI2,62.5,60.0,9658,8.04,7.95,5.0
35707,0.3,Ideal,D,VS2,61.0,55.0,911,4.36,4.33,2.65
42190,0.5,Premium,F,SI1,62.7,61.0,1286,5.07,5.01,3.16
22330,1.5,Fair,D,SI1,65.1,59.0,10374,7.1,7.01,4.59
26759,1.57,Ideal,E,VS2,62.3,57.0,16570,7.39,7.44,4.62
47057,0.61,Good,H,VVS2,60.3,60.5,1821,5.44,5.48,3.29
43032,0.5,Fair,G,VS1,65.9,57.0,1373,5.0,4.87,3.25
6253,1.17,Good,G,SI2,63.6,62.0,4010,6.65,6.55,4.2
17975,1.32,Very Good,H,SI1,62.3,57.0,7270,7.04,6.99,4.37
42597,0.5,Ideal,E,SI1,62.8,57.0,1331,5.05,5.08,3.18
52874,0.54,Ideal,F,VVS2,60.7,56.0,2582,5.27,5.3,3.21
13915,1.01,Ideal,H,SI1,61.2,56.0,5664,6.44,6.47,3.95
369,0.7,Very Good,F,VS1,62.0,57.0,2808,5.64,5.71,3.52
14362,1.01,Very Good,D,SI1,61.6,59.0,5815,6.42,6.47,3.97
9996,1.0,Very Good,E,SI2,63.5,56.0,4704,6.38,6.31,4.03
31126,0.43,Very Good,G,SI1,62.7,56.0,754,4.8,4.83,3.02
45667,0.53,Ideal,D,VS2,61.8,57.0,1694,5.17,5.21,3.21
17155,1.21,Premium,H,VS2,59.3,60.0,6849,6.93,6.99,4.13
49224,0.61,Very Good,G,VS1,62.7,57.0,2082,5.36,5.43,3.38
21808,1.74,Ideal,D,SI2,59.7,55.0,9880,7.9,7.84,4.7
50275,0.7,Good,E,SI1,61.9,58.0,2239,5.63,5.67,3.5
20542,1.15,Premium,G,VVS1,60.8,58.0,8863,6.74,6.77,4.11
28361,0.4,Ideal,I,VS2,62.4,54.0,667,4.73,4.76,2.96
46139,0.5,Ideal,E,VS1,62.7,57.0,1745,5.04,5.11,3.18
13576,1.21,Ideal,I,SI1,60.6,55.0,5556,6.92,6.87,4.18
21793,1.23,Ideal,G,VS1,62.0,57.0,9863,6.83,6.87,4.25
17236,1.21,Very Good,H,SI1,60.4,58.0,6892,6.91,6.96,4.19
49404,0.52,Ideal,E,VS1,61.9,55.0,2105,5.16,5.18,3.2
28762,0.31,Ideal,E,VS2,62.4,54.0,680,4.31,4.35,2.7
41002,0.43,Ideal,G,VVS1,61.8,55.0,1183,4.87,4.9,3.02
30558,0.31,Ideal,D,VS2,60.4,56.0,734,4.39,4.42,2.66
43376,0.5,Ideal,E,SI1,61.9,55.0,1409,5.18,5.12,3.19
41465,0.41,Ideal,G,VVS1,62.0,56.0,1230,4.8,4.78,2.97
53787,0.73,Premium,F,SI1,62.2,56.0,2728,5.79,5.73,3.58
48640,0.31,Premium,I,SI1,60.1,59.0,537,4.41,4.38,2.64
526,1.17,Premium,J,I1,60.2,61.0,2825,6.9,6.83,4.13
33969,0.32,Ideal,E,VS2,61.1,56.0,846,4.46,4.48,2.73
25334,1.2,Ideal,D,VVS2,62.7,54.0,14033,6.8,6.82,4.27
50395,0.52,Very Good,E,VVS2,61.2,58.0,2254,5.17,5.19,3.17
20430,1.58,Very Good,I,SI1,63.1,55.0,8782,7.42,7.45,4.69
31656,0.35,Ideal,E,VS2,62.4,57.0,767,4.52,4.55,2.83
8450,1.01,Premium,H,SI2,60.3,60.0,4412,6.49,6.45,3.9
8906,0.9,Ideal,I,VS1,60.9,60.0,4492,6.2,6.24,3.79
37094,0.41,Ideal,E,SI1,62.9,57.0,969,4.76,4.72,2.98
32509,0.4,Premium,E,SI2,58.7,59.0,798,4.82,4.78,2.82
25087,2.04,Very Good,J,VS2,63.0,58.0,13609,7.99,8.02,5.04
25475,1.5,Ideal,F,VS2,61.4,55.0,14242,7.35,7.44,4.54
8238,0.85,Ideal,D,SI1,61.9,56.0,4373,6.03,6.09,3.75
31138,0.38,Very Good,G,SI1,61.8,53.7,755,4.67,4.69,2.9
44839,0.6,Premium,E,SI1,60.8,58.0,1625,5.46,5.5,3.33
23093,1.13,Ideal,E,VVS2,61.4,57.0,11115,6.69,6.74,4.12
34185,0.33,Premium,G,VS1,62.0,59.0,854,4.42,4.36,2.72
5283,0.9,Good,D,SI2,59.5,62.0,3798,6.2,6.23,3.7
36717,0.41,Very Good,E,SI1,63.3,57.0,953,4.72,4.67,2.98
32378,0.3,Fair,G,VVS1,58.6,66.0,790,4.36,4.41,2.57
21971,1.59,Premium,I,VS2,60.2,60.0,10039,7.58,7.61,4.57
8773,1.01,Good,D,SI2,65.1,57.0,4468,6.27,6.32,4.1
47681,0.51,Ideal,D,VS2,62.7,55.0,1882,5.12,5.09,3.2
41556,0.5,Very Good,G,SI1,62.8,56.0,1237,5.05,5.08,3.18
12982,1.11,Premium,H,VS2,60.9,57.0,5395,6.77,6.69,4.1
46550,0.51,Ideal,E,VS2,61.5,57.0,1781,5.12,5.09,3.14
49475,0.72,Very Good,G,SI2,60.6,61.0,2114,5.73,5.79,3.49
17316,1.1,Ideal,G,VS2,60.9,56.0,6939,6.68,6.79,4.1
44626,0.57,Ideal,G,VS2,61.6,57.0,1608,5.32,5.36,3.29
29969,0.31,Very Good,H,SI1,62.3,55.0,446,4.34,4.36,2.71
20038,0.3,Very Good,E,SI2,61.7,61.0,421,4.28,4.31,2.65
44299,0.52,Premium,E,SI1,62.3,59.0,1577,5.16,5.08,3.19
3538,0.7,Premium,D,VS1,62.5,60.0,3410,5.67,5.62,3.53
10408,0.31,Ideal,G,SI1,63.0,56.0,593,4.34,4.3,2.72
32993,0.38,Premium,I,VS2,61.5,58.0,812,4.62,4.61,2.84
31471,0.34,Premium,H,VS1,62.1,58.0,765,4.49,4.46,2.78
7395,0.33,Premium,H,VS1,59.5,59.0,579,4.48,4.53,2.68
48204,0.53,Ideal,G,VVS2,61.7,56.0,1948,5.2,5.23,3.22
46126,0.51,Ideal,F,VS1,61.7,54.0,1744,5.14,5.17,3.18
22394,1.55,Premium,I,VS1,58.2,60.0,10416,7.69,7.59,4.45
22716,1.01,Premium,D,VVS2,62.4,58.0,10732,6.39,6.44,4.0
10826,1.01,Very Good,F,SI1,60.8,59.0,4869,6.49,6.53,3.96
51307,0.31,Premium,G,VS2,59.8,60.0,544,4.4,4.43,2.64
3456,0.73,Ideal,G,VS2,60.2,55.0,3389,5.85,5.9,3.54
31559,0.38,Very Good,G,VS2,60.1,61.0,766,4.63,4.66,2.79
45231,0.58,Ideal,F,VS2,61.5,57.0,1657,5.34,5.39,3.3
42997,0.55,Ideal,F,SI1,61.0,58.0,1368,5.25,5.28,3.21
14355,1.01,Ideal,D,SI1,61.4,59.0,5812,6.4,6.44,3.94
27587,2.44,Very Good,J,VS2,58.1,60.0,18430,8.89,8.93,5.18
1060,0.31,Very Good,I,VS2,63.2,55.0,558,4.4,4.3,2.75
39798,0.5,Ideal,F,SI2,62.0,58.0,1095,5.08,5.11,3.16
30806,0.3,Very Good,E,VVS2,62.4,57.0,743,4.26,4.27,2.66
37469,0.42,Ideal,G,VS1,62.0,55.0,984,4.83,4.78,2.98
16501,1.06,Very Good,G,VS1,63.4,57.0,6595,6.48,6.45,4.1
11572,1.03,Premium,G,SI1,61.9,56.0,5037,6.54,6.48,4.03
4320,0.9,Good,E,SI2,65.8,60.0,3595,5.94,5.97,3.92
12679,1.01,Ideal,H,VS2,62.7,57.0,5306,6.41,6.39,4.01
47799,0.58,Ideal,F,VS1,62.2,55.0,1899,5.34,5.37,3.33
17384,0.34,Premium,E,SI2,62.5,59.0,612,4.46,4.43,2.78
19922,2.5,Premium,H,I1,59.9,60.0,8467,8.75,8.67,5.22
31862,0.3,Ideal,H,VVS2,61.5,56.0,776,4.35,4.33,2.67
48784,0.59,Very Good,E,VS1,60.0,56.0,2021,5.46,5.5,3.29
19137,1.6,Premium,J,VS1,62.6,59.0,7903,7.51,7.4,4.66
7476,1.1,Very Good,I,SI1,60.4,61.0,4235,6.69,6.73,4.05
14223,1.68,Good,E,I1,64.3,60.0,5765,7.44,7.48,4.8
15206,1.01,Ideal,G,VS2,62.4,56.0,6108,6.41,6.37,3.99
22108,1.5,Good,F,VS2,64.0,56.0,10134,7.18,7.13,4.64
51923,0.71,Very Good,E,VS2,63.2,57.0,2437,5.66,5.63,3.56
2666,0.95,Premium,I,SI2,62.5,58.0,3237,6.3,6.24,3.92
7840,1.01,Good,F,SI2,61.5,62.0,4302,6.41,6.46,3.96
15974,1.51,Good,J,SI1,64.1,61.0,6394,7.16,7.19,4.6
21394,1.51,Premium,H,SI1,62.0,58.0,9511,7.38,7.34,4.56
28462,0.32,Very Good,H,VVS1,62.3,56.0,672,4.35,4.37,2.72
42572,0.38,Premium,E,VVS1,61.9,58.0,1327,4.66,4.62,2.87
38077,0.3,Premium,E,VVS2,60.8,60.0,1013,4.31,4.27,2.61
44990,0.31,Premium,J,VS1,60.7,60.0,523,4.39,4.34,2.65
17161,1.09,Ideal,E,SI2,62.7,55.9,6852,6.52,6.58,4.11
49895,0.6,Very Good,E,VS1,63.2,56.0,2177,5.39,5.3,3.38
47009,0.56,Ideal,E,VS2,61.9,55.0,1819,5.29,5.34,3.29
17275,1.31,Very Good,I,VS2,61.2,58.0,6917,7.01,7.05,4.3
36031,0.41,Premium,G,SI1,62.5,57.0,923,4.72,4.69,2.94
18694,0.29,Ideal,E,VS1,61.2,56.0,619,4.27,4.29,2.61
23359,0.3,Ideal,G,SI1,62.2,55.0,422,4.27,4.32,2.67
16327,1.08,Premium,G,VS2,59.4,59.0,6532,6.75,6.68,3.99
51888,0.72,Premium,D,SI2,60.5,60.0,2429,5.82,5.72,3.49
50646,0.31,Very Good,E,SI1,63.0,57.0,544,4.29,4.32,2.71
10065,0.32,Very Good,H,SI1,63.1,58.0,591,4.36,4.33,2.74
22028,0.31,Ideal,F,SI1,62.0,54.0,628,4.36,4.38,2.71
10993,1.12,Very Good,I,VS2,63.9,52.0,4914,6.58,6.65,4.23
9323,0.9,Ideal,D,SI1,62.5,57.0,4579,6.12,6.2,3.85
41226,0.43,Ideal,G,VVS1,60.5,57.0,1207,4.86,4.92,2.96
13433,1.08,Ideal,H,SI1,61.8,54.0,5517,6.6,6.61,4.09
45221,0.42,Ideal,F,VVS1,61.4,56.0,1656,4.83,4.85,2.97
37928,0.3,Good,H,SI2,63.9,57.0,485,4.27,4.24,2.72
43305,0.45,Ideal,E,VVS2,61.9,56.0,1401,4.95,4.91,3.05
15877,1.4,Ideal,J,SI1,62.1,57.0,6350,7.17,7.14,4.44
37422,0.33,Ideal,E,VVS1,61.5,57.0,984,4.44,4.47,2.74
33114,0.31,Premium,D,VS2,61.7,58.0,816,4.37,4.32,2.68
29988,0.32,Ideal,F,VS1,61.9,56.0,716,4.39,4.43,2.73
18386,0.26,Ideal,F,VS1,62.1,54.0,618,4.12,4.13,2.56
3058,0.34,Very Good,F,SI1,63.0,54.0,566,4.48,4.5,2.83
45696,0.54,Very Good,G,VS1,63.6,56.0,1698,5.17,5.24,3.31
12818,1.01,Premium,F,SI1,62.2,59.0,5345,6.41,6.36,3.97
32486,0.43,Ideal,G,SI1,62.0,55.0,795,4.84,4.87,3.01
38322,0.5,Very Good,F,SI2,62.9,57.0,1020,5.02,5.06,3.17
1968,0.73,Ideal,G,SI1,61.7,57.0,3089,5.78,5.81,3.57
12158,0.91,Ideal,F,SI1,62.0,55.0,5176,6.21,6.24,3.86
37450,0.34,Ideal,G,IF,62.2,56.0,984,4.45,4.46,2.77
47744,0.59,Ideal,G,SI1,61.3,56.0,1891,5.41,5.43,3.32
22709,0.35,Very Good,H,SI1,63.1,58.0,630,4.51,4.46,2.83
26079,2.04,Ideal,I,SI1,60.0,60.0,15308,8.3,8.26,4.97
45006,0.54,Very Good,E,VS2,60.7,56.0,1637,5.29,5.32,3.22
15500,1.1,Premium,D,VS2,60.0,59.0,6209,6.67,6.6,3.98
12635,1.0,Premium,F,SI1,60.7,60.0,5292,6.4,6.36,3.87
17676,1.01,Premium,F,VS1,61.3,58.0,7127,6.52,6.44,3.97
23950,2.01,Very Good,J,SI1,62.2,59.0,12084,7.93,8.01,4.96
27290,2.0,Good,E,SI2,57.7,61.0,17760,8.31,8.19,4.76
29629,0.35,Premium,H,SI2,61.6,58.0,441,4.49,4.54,2.78
51512,0.7,Premium,H,SI1,61.1,58.0,2383,5.73,5.69,3.49
30064,0.34,Ideal,G,VS1,60.6,57.0,720,4.52,4.57,2.75
4274,0.98,Fair,H,SI1,68.6,58.0,3583,6.18,6.04,4.19
44363,0.56,Ideal,E,SI1,60.9,56.0,1580,5.32,5.35,3.25
28172,0.36,Good,H,SI1,63.6,57.0,665,4.53,4.49,2.87
5975,0.9,Premium,F,SI2,59.7,60.0,3951,6.25,6.22,3.72
22298,1.17,Ideal,G,VVS1,61.7,57.0,10342,6.84,6.9,4.13
37794,0.38,Ideal,E,VS1,61.6,56.0,1000,4.62,4.66,2.86
24319,1.51,Premium,G,VS2,62.0,57.0,12571,7.38,7.33,4.56
49496,1.0,Fair,J,SI2,69.9,61.0,2117,6.13,5.86,4.23
26954,2.07,Very Good,H,SI1,59.8,58.0,17019,8.23,8.26,4.93
45555,0.51,Ideal,D,SI1,62.8,56.0,1687,5.09,5.07,3.19
43604,0.31,Good,E,SI1,63.4,55.0,507,4.26,4.29,2.71
47096,0.53,Premium,D,VS2,59.9,58.0,1825,5.29,5.26,3.16
35331,0.33,Ideal,E,VVS2,60.7,55.0,898,4.49,4.5,2.73
34846,0.3,Ideal,G,VVS2,61.5,55.0,878,4.32,4.3,2.65
42042,0.53,Ideal,H,SI1,61.3,55.0,1268,5.23,5.27,3.22
26547,2.01,Good,F,SI2,58.1,64.0,16231,8.23,8.19,4.77
23368,0.3,Ideal,H,SI1,61.3,59.0,425,4.29,4.33,2.64
46424,0.51,Ideal,D,VS2,60.8,57.0,1769,5.18,5.21,3.16
23737,1.68,Ideal,E,SI2,60.4,55.0,11781,7.7,7.79,4.68
4476,0.92,Premium,H,SI1,62.4,58.0,3624,6.19,6.22,3.87
19577,1.53,Premium,J,VS1,62.8,59.0,8205,7.34,7.31,4.6
36906,0.32,Ideal,E,VS2,60.2,57.0,960,4.51,4.46,2.7
47155,0.52,Very Good,G,VVS2,63.2,57.0,1833,5.08,5.11,3.22
43320,0.51,Premium,E,SI1,62.9,57.0,1402,5.11,5.06,3.2
30902,0.31,Ideal,F,VS1,62.4,55.0,744,4.37,4.35,2.72
41639,0.32,Premium,J,VS2,61.9,59.0,504,4.38,4.35,2.7
21969,1.3,Ideal,G,VS1,62.0,55.0,10038,6.98,7.02,4.34
17770,1.17,Ideal,G,VS1,59.4,57.0,7155,6.93,6.87,4.1
23890,2.4,Ideal,I,SI2,62.8,57.0,11988,8.52,8.49,5.34
51867,0.73,Ideal,I,VS2,61.9,56.0,2426,5.77,5.82,3.59
4747,0.7,Ideal,F,VVS1,62.5,57.0,3683,5.62,5.67,3.53
16369,0.33,Very Good,D,SI1,61.5,60.0,608,4.41,4.44,2.72
43635,0.43,Very Good,E,VVS1,61.2,56.0,1433,4.84,4.87,2.97
11598,1.16,Very Good,D,SI2,62.5,60.0,5044,6.64,6.7,4.17
22507,1.51,Very Good,D,SI2,61.7,59.0,10546,7.28,7.35,4.51
14822,1.35,Ideal,J,VS2,61.4,57.0,5969,7.13,7.1,4.37
35502,0.41,Ideal,E,SI1,61.4,57.0,904,4.8,4.78,2.94
27963,0.3,Very Good,E,VS2,62.4,56.0,658,4.26,4.33,2.68
18803,1.71,Ideal,J,SI2,60.8,57.0,7695,7.69,7.64,4.66
47973,0.3,Ideal,I,VVS2,62.3,53.7,532,4.29,4.32,2.68
29249,0.39,Ideal,F,SI1,61.8,57.0,697,4.68,4.73,2.91
